id,name,subscription_contract_id,created_at,cancelled_at,closed,closed_at,fully_paid,display_fulfillment_status,display_financial_status,subtotal_price,total_price,total_tax,taxes_included
5790053990447,1051,19347013679,2025-03-10T07:10:29Z,2025-04-13T13:42:38Z,False,,True,UNFULFILLED,PARTIALLY_REFUNDED,188.0,188.0,0.0,True
5791428378671,1052,19347013679,2025-03-11T08:05:16Z,2025-04-13T13:42:53Z,True,2025-04-13T13:42:53Z,True,UNFULFILLED,VOIDED,99.0,99.0,0.0,True
5830217433135,1055,19347013679,2025-04-11T08:05:35Z,2025-04-13T13:43:08Z,True,2025-04-13T13:43:08Z,True,UNFULFILLED,VOIDED,99.0,99.0,0.0,True
6050141863983,1111,31398592559,2025-08-15T22:02:35Z,2025-08-18T02:00:20Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6050104115247,1104,31397281839,2025-08-15T21:28:42Z,2025-08-18T02:00:03Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
6050158772271,1114,31399018543,2025-08-15T22:18:20Z,2025-08-18T02:00:27Z,False,,True,UNFULFILLED,VOIDED,1188.0,1188.0,154.95,True
5765774508079,Service Order  #1026,18988236847,2025-02-24T22:05:13Z,,True,2025-02-26T02:07:48Z,False,UNFULFILLED,AUTHORIZED,3530.0,3536.51,0.0,True
5691865595951,#1006,17104404527,2024-12-15T08:04:42Z,,True,2025-02-26T02:07:47Z,False,UNFULFILLED,EXPIRED,1.29,1.29,0.0,False
5690710851631,#1005,17104404527,2024-12-14T07:56:27Z,,True,2025-02-26T02:07:49Z,False,UNFULFILLED,EXPIRED,1.29,1.29,0.0,False
5694205558831,#1008,17104404527,2024-12-17T08:03:35Z,,True,2025-02-26T02:07:47Z,False,UNFULFILLED,EXPIRED,1.29,1.29,0.0,False
5692963881007,#1007,17104404527,2024-12-16T08:04:00Z,,True,2025-02-26T02:07:47Z,False,UNFULFILLED,EXPIRED,1.28,1.28,0.0,False
